variable_name,column_number_ttgintt4,source_type,official_variable_label,label_group_1,label_group_2,label_group_3,label_group_4,teacher_questionnaire_question,item,valid_value_labels,special_missing_or_skip_codes,all_value_labels,available_idpop,available_files,recommended_cleaning_note
TT4G62A,310,teacher questionnaire item,Teaching in the <Target Class>/ Students' relationship skills/ Monitor his behaviour over the next 2 weeks to see if it improves,Teaching in the <Target Class>,Students' relationship skills,Monitor his behaviour over the next 2 weeks to see if it improves,,62,A,1 = Would not do | 2 = Probably would not do | 3 = Probably would do | 4 = Would do,8 = Not administered | 9 = Omitted or invalid,1 = Would not do | 2 = Probably would not do | 3 = Probably would do | 4 = Would do | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G62B,311,teacher questionnaire item,Teaching in the <Target Class>/ Students' relationship skills/ Arrange a meeting with your colleague,Teaching in the <Target Class>,Students' relationship skills,Arrange a meeting with your colleague,,62,B,1 = Would not do | 2 = Probably would not do | 3 = Probably would do | 4 = Would do,8 = Not administered | 9 = Omitted or invalid,1 = Would not do | 2 = Probably would not do | 3 = Probably would do | 4 = Would do | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G62C,312,teacher questionnaire item,Teaching in the <Target Class>/ Students' relationship skills/ Have a discussion with him after your next lesson,Teaching in the <Target Class>,Students' relationship skills,Have a discussion with him after your next lesson,,62,C,1 = Would not do | 2 = Probably would not do | 3 = Probably would do | 4 = Would do,8 = Not administered | 9 = Omitted or invalid,1 = Would not do | 2 = Probably would not do | 3 = Probably would do | 4 = Would do | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G62D,313,teacher questionnaire item,Teaching in the <Target Class>/ Students' relationship skills/ Other,Teaching in the <Target Class>,Students' relationship skills,Other,,62,D,1 = Would not do | 2 = Probably would not do | 3 = Probably would do | 4 = Would do,8 = Not administered | 9 = Omitted or invalid,1 = Would not do | 2 = Probably would not do | 3 = Probably would do | 4 = Would do | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G63A,314,teacher questionnaire item,Teaching in the <Target Class>/ Students' social awareness/ Identify a role that she can focus on when working in a group,Teaching in the <Target Class>,Students' social awareness,Identify a role that she can focus on when working in a group,,63,A,1 = Would not do | 2 = Probably would not do | 3 = Probably would do | 4 = Would do,8 = Not administered | 9 = Omitted or invalid,1 = Would not do | 2 = Probably would not do | 3 = Probably would do | 4 = Would do | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G63B,315,teacher questionnaire item,Teaching in the <Target Class>/ Students' social awareness/ Start the class by clarifying expectations and responsibilities,Teaching in the <Target Class>,Students' social awareness,Start the class by clarifying expectations and responsibilities,,63,B,1 = Would not do | 2 = Probably would not do | 3 = Probably would do | 4 = Would do,8 = Not administered | 9 = Omitted or invalid,1 = Would not do | 2 = Probably would not do | 3 = Probably would do | 4 = Would do | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G63C,316,teacher questionnaire item,Teaching in the <Target Class>/ Students' social awareness/ Encourage her by commenting on her ability,Teaching in the <Target Class>,Students' social awareness,Encourage her by commenting on her ability,,63,C,1 = Would not do | 2 = Probably would not do | 3 = Probably would do | 4 = Would do,8 = Not administered | 9 = Omitted or invalid,1 = Would not do | 2 = Probably would not do | 3 = Probably would do | 4 = Would do | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G63D,317,teacher questionnaire item,Teaching in the <Target Class>/ Students' social awareness/ Other,Teaching in the <Target Class>,Students' social awareness,Other,,63,D,1 = Would not do | 2 = Probably would not do | 3 = Probably would do | 4 = Would do,8 = Not administered | 9 = Omitted or invalid,1 = Would not do | 2 = Probably would not do | 3 = Probably would do | 4 = Would do | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G64A,318,teacher questionnaire item,School Climate/ General school climate/ School provides staff opportunities to participate in school decisions,School Climate,General school climate,School provides staff opportunities to participate in school decisions,,64,A,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree,8 = Not administered | 9 = Omitted or invalid,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G64B,319,teacher questionnaire item,School Climate/ General school climate/ School provides parents/guardians with opportunities to actively participate,School Climate,General school climate,School provides parents,guardians with opportunities to actively participate,64,B,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree,8 = Not administered | 9 = Omitted or invalid,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G64C,320,teacher questionnaire item,School Climate/ General school climate/ School provides students with opportunities to participate,School Climate,General school climate,School provides students with opportunities to participate,,64,C,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree,8 = Not administered | 9 = Omitted or invalid,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G64D,321,teacher questionnaire item,School Climate/ General school climate/ There is a collaborative school culture,School Climate,General school climate,There is a collaborative school culture,,64,D,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree,8 = Not administered | 9 = Omitted or invalid,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G64E,322,teacher questionnaire item,School Climate/ General school climate/ The school staff share a common set of beliefs about teaching and learning,School Climate,General school climate,The school staff share a common set of beliefs about teaching and learning,,64,E,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree,8 = Not administered | 9 = Omitted or invalid,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G64F,323,teacher questionnaire item,School Climate/ General school climate/ The school staff enforces rules for student behaviour consistently,School Climate,General school climate,The school staff enforces rules for student behaviour consistently,,64,F,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree,8 = Not administered | 9 = Omitted or invalid,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G64G,324,teacher questionnaire item,School Climate/ General school climate/ This school encourages staff to lead new initiatives,School Climate,General school climate,This school encourages staff to lead new initiatives,,64,G,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree,8 = Not administered | 9 = Omitted or invalid,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G64H,325,teacher questionnaire item,School Climate/ General school climate/ Teachers can rely on each other,School Climate,General school climate,Teachers can rely on each other,,64,H,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree,8 = Not administered | 9 = Omitted or invalid,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G64I,326,teacher questionnaire item,School Climate/ General school climate/ Teachers take leadership roles in promoting a professional learning community,School Climate,General school climate,Teachers take leadership roles in promoting a professional learning community,,64,I,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree,8 = Not administered | 9 = Omitted or invalid,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G64J,327,teacher questionnaire item,School Climate/ General school climate/ Teachers initiate and lead collaborative activities,School Climate,General school climate,Teachers initiate and lead collaborative activities,,64,J,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree,8 = Not administered | 9 = Omitted or invalid,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G64K,328,teacher questionnaire item,School Climate/ General school climate/ Teachers lead their professional growth and development activities,School Climate,General school climate,Teachers lead their professional growth and development activities,,64,K,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree,8 = Not administered | 9 = Omitted or invalid,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G64L,329,teacher questionnaire item,School Climate/ General school climate/ Teachers participate in non-teaching school events and projects,School Climate,General school climate,Teachers participate in non-teaching school events and projects,,64,L,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree,8 = Not administered | 9 = Omitted or invalid,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G65A,330,teacher questionnaire item,School Climate/ Teacher-student relations/ Teachers and students usually get on well with each other,School Climate,Teacher-student relations,Teachers and students usually get on well with each other,,65,A,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree,8 = Not administered | 9 = Omitted or invalid,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G65B,331,teacher questionnaire item,School Climate/ Teacher-student relations/ Most teachers believe that the students’ well-being is important,School Climate,Teacher-student relations,Most teachers believe that the students’ well-being is important,,65,B,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree,8 = Not administered | 9 = Omitted or invalid,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G65C,332,teacher questionnaire item,School Climate/ Teacher-student relations/ Most teachers are interested in what students have to say,School Climate,Teacher-student relations,Most teachers are interested in what students have to say,,65,C,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree,8 = Not administered | 9 = Omitted or invalid,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G65D,333,teacher questionnaire item,"School Climate/ Teacher-student relations/ If a student needs extra assistance, the school provides it",School Climate,Teacher-student relations,"If a student needs extra assistance, the school provides it",,65,D,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree,8 = Not administered | 9 = Omitted or invalid,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G66A,334,teacher questionnaire item,School Climate/ Perceptions about the principal/ Principal has a clear vision for this school,School Climate,Perceptions about the principal,Principal has a clear vision for this school,,66,A,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree,8 = Not administered | 9 = Omitted or invalid,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G66B,335,teacher questionnaire item,School Climate/ Perceptions about the principal/ Principal encourages co-operation among teachers,School Climate,Perceptions about the principal,Principal encourages co-operation among teachers,,66,B,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree,8 = Not administered | 9 = Omitted or invalid,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G66C,336,teacher questionnaire item,School Climate/ Perceptions about the principal/ Principal ensures that teachers to take responsibility for improving teaching skills,School Climate,Perceptions about the principal,Principal ensures that teachers to take responsibility for improving teaching skills,,66,C,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree,8 = Not administered | 9 = Omitted or invalid,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G66D,337,teacher questionnaire item,School Climate/ Perceptions about the principal/ Principal ensures that teachers feel responsible for students learning outcomes,School Climate,Perceptions about the principal,Principal ensures that teachers feel responsible for students learning outcomes,,66,D,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree,8 = Not administered | 9 = Omitted or invalid,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G66E,338,teacher questionnaire item,School Climate/ Perceptions about the principal/ Principal encourages all staff to have a say on important decisions,School Climate,Perceptions about the principal,Principal encourages all staff to have a say on important decisions,,66,E,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree,8 = Not administered | 9 = Omitted or invalid,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G66F,339,teacher questionnaire item,School Climate/ Perceptions about the principal/ Principal has good professional relationships with staff,School Climate,Perceptions about the principal,Principal has good professional relationships with staff,,66,F,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree,8 = Not administered | 9 = Omitted or invalid,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G66G,340,teacher questionnaire item,School Climate/ Perceptions about the principal/ Principal has good professional relationships with parents or guardians,School Climate,Perceptions about the principal,Principal has good professional relationships with parents or guardians,,66,G,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree,8 = Not administered | 9 = Omitted or invalid,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G66H,341,teacher questionnaire item,School Climate/ Perceptions about the principal/ Principal has good professional relationships with students,School Climate,Perceptions about the principal,Principal has good professional relationships with students,,66,H,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree,8 = Not administered | 9 = Omitted or invalid,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G66I,342,teacher questionnaire item,School Climate/ Perceptions about the principal/ Principal ensures that teachers’ performance is monitored effectively,School Climate,Perceptions about the principal,Principal ensures that teachers’ performance is monitored effectively,,66,I,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree,8 = Not administered | 9 = Omitted or invalid,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G66J,343,teacher questionnaire item,School Climate/ Perceptions about the principal/ Principal provides useful feedback to teachers and staff,School Climate,Perceptions about the principal,Principal provides useful feedback to teachers and staff,,66,J,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree,8 = Not administered | 9 = Omitted or invalid,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G67A,344,teacher questionnaire item,School Climate/ Relational school climate/ Teachers can rely on the <school management team>,School Climate,Relational school climate,Teachers can rely on the <school management team>,,67,A,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree,8 = Not administered | 9 = Omitted or invalid,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G67B,345,teacher questionnaire item,School Climate/ Relational school climate/ The principal has confidence in the expertise of the teachers,School Climate,Relational school climate,The principal has confidence in the expertise of the teachers,,67,B,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree,8 = Not administered | 9 = Omitted or invalid,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G67C,346,teacher questionnaire item,School Climate/ Relational school climate/ Students can be counted on to do their school work,School Climate,Relational school climate,Students can be counted on to do their school work,,67,C,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree,8 = Not administered | 9 = Omitted or invalid,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G67D,347,teacher questionnaire item,School Climate/ Relational school climate/ Students can be counted on to do their homework,School Climate,Relational school climate,Students can be counted on to do their homework,,67,D,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree,8 = Not administered | 9 = Omitted or invalid,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G68A1,348,teacher questionnaire item,School Climate/ Feedback types/ Observation of classroom teaching/ External individuals or bodies,School Climate,Feedback types,Observation of classroom teaching,External individuals or bodies,68,A1,1 = Checked | 2 = Not checked,8 = Not administered | 9 = Omitted or invalid,1 = Checked | 2 = Not checked | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G68A2,349,teacher questionnaire item,School Climate/ Feedback types/ Observation of classroom teaching/ Principal or member(s) of SMT,School Climate,Feedback types,Observation of classroom teaching,Principal or member(s) of SMT,68,A2,1 = Checked | 2 = Not checked,8 = Not administered | 9 = Omitted or invalid,1 = Checked | 2 = Not checked | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G68A3,350,teacher questionnaire item,School Climate/ Feedback types/ Observation of classroom teaching/ Other colleagues within the school,School Climate,Feedback types,Observation of classroom teaching,Other colleagues within the school,68,A3,1 = Checked | 2 = Not checked,8 = Not administered | 9 = Omitted or invalid,1 = Checked | 2 = Not checked | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G68A4,351,teacher questionnaire item,School Climate/ Feedback types/ Observation of classroom teaching/ I have never received this Feedback types,School Climate,Feedback types,Observation of classroom teaching,I have never received this Feedback types,68,A4,1 = Checked | 2 = Not checked,8 = Not administered | 9 = Omitted or invalid,1 = Checked | 2 = Not checked | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G68B1,352,teacher questionnaire item,School Climate/ Feedback types/ Student survey response/ External individuals or bodies,School Climate,Feedback types,Student survey response,External individuals or bodies,68,B1,1 = Checked | 2 = Not checked,8 = Not administered | 9 = Omitted or invalid,1 = Checked | 2 = Not checked | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G68B2,353,teacher questionnaire item,School Climate/ Feedback types/ Student survey responses/ Principal or member(s) of SMT,School Climate,Feedback types,Student survey responses,Principal or member(s) of SMT,68,B2,1 = Checked | 2 = Not checked,8 = Not administered | 9 = Omitted or invalid,1 = Checked | 2 = Not checked | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G68B3,354,teacher questionnaire item,School Climate/ Feedback types/ Student survey responses/ Other colleagues within the school,School Climate,Feedback types,Student survey responses,Other colleagues within the school,68,B3,1 = Checked | 2 = Not checked,8 = Not administered | 9 = Omitted or invalid,1 = Checked | 2 = Not checked | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G68B4,355,teacher questionnaire item,School Climate/ Feedback types/ Student survey responses/ I have never received this Feedback types,School Climate,Feedback types,Student survey responses,I have never received this Feedback types,68,B4,1 = Checked | 2 = Not checked,8 = Not administered | 9 = Omitted or invalid,1 = Checked | 2 = Not checked | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G68C1,356,teacher questionnaire item,School Climate/ Feedback types/ Assessment of content knowledge/ External individuals or bodies,School Climate,Feedback types,Assessment of content knowledge,External individuals or bodies,68,C1,1 = Checked | 2 = Not checked,8 = Not administered | 9 = Omitted or invalid,1 = Checked | 2 = Not checked | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G68C2,357,teacher questionnaire item,School Climate/ Feedback types/ Assessment of content knowledge/ Principal or member(s) of SMT,School Climate,Feedback types,Assessment of content knowledge,Principal or member(s) of SMT,68,C2,1 = Checked | 2 = Not checked,8 = Not administered | 9 = Omitted or invalid,1 = Checked | 2 = Not checked | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
TT4G68C3,358,teacher questionnaire item,School Climate/ Feedback types/ Assessment of content knowledge/ Other colleagues within the school,School Climate,Feedback types,Assessment of content knowledge,Other colleagues within the school,68,C3,1 = Checked | 2 = Not checked,8 = Not administered | 9 = Omitted or invalid,1 = Checked | 2 = Not checked | 8 = Not administered | 9 = Omitted or invalid,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","For CSV analysis, recode special codes as missing/structural as appropriate: 8 = Not administered | 9 = Omitted or invalid"
